X1,sys_RespNum,QUOTA,Q9Quota,State,Region,Opinion_aqua_pre,Support_pre,Wild_farmed_pre,M3_strong,M3_weak,VIDEOQUOTA,Opinion_video,Support_post,Purchase_seafood_post,Opinion_aqua_post,Wild_farmed_post,Trust_scientists,Trust_NGO,Trust_Govt,Trust_Chefs,Trust_farmers,Trust_grocer,Trust_food_companies,Age,Marital,Education,Religion,Race,Income,Gender,MXD_I,MXD_II,MXD_III,MXD_IV,MXD_V,MXD_VI,MXD_VII,MXD_VIII,MXD_IX,MXD_X,Message_1,Message_2,Message_3,Message_4,Message_5,Message_6,Message_7,Message_8,Message_9,Message_10,Region_factor,Gender_factor,Race_factor,Education_factor,Marital_factor,Last_seafood_factor,Neighborhood_factor,survey_2_region,survey_2_state
118,925,1,2,5,3,1,1,1,4,5,2,1,1,1,1,2,2,3,3,4,4,3,2,62,3,5,3,5,4,1,8.28339,10.15861,4.92579,15.9722,6.47166,6.17354,11.00591,7.13725,14.63993,15.23173,5,6,1,10,3,2,7,4,8,9,West,Male,Other,Vocational training/2 year college,Divorced,2 days ago,Suburban,3,California
130,971,1,1,5,3,2,3,1,4,4,6,2,2,2,2,3,3,4,4,3,4,4,3,62,3,5,3,4,3,1,8.0693,22.99425,0.71119,18.5857,10.09554,1.21973,3.07915,10.96966,9.09287,15.18262,4,10,1,9,6,2,3,7,5,8,West,Male,Mixed,Vocational training/2 year college,Divorced,Within the last week,Suburban,3,California
183,258,1,2,10,4,2,3,1,2,3,2,2,2,2,2,1,2,2,2,2,1,2,2,62,2,6,2,1,7,1,7.15232,4.65071,3.88028,3.82972,6.54156,19.39073,19.22754,23.1741,5.75449,6.39856,7,3,2,1,6,9,8,10,4,5,South,Male,White,4-year college/bachelor's degree,Married,Within the last month,Suburban,8,Florida
303,993,1,1,14,2,5,5,1,5,1,3,5,5,5,5,1,3,3,3,4,3,3,3,62,1,4,3,1,3,2,9.14753,5.53,1.76648,6.27201,24.2138,1.70712,18.26319,17.84548,1.89634,13.35804,6,4,2,5,10,1,9,8,3,7,Midwest,Female,White,"Some college, no degree",Single,Within the last week,Suburban,6,Illinois
314,176,1,2,15,2,1,1,3,5,4,6,2,2,2,1,2,2,2,1,4,4,3,4,62,2,6,3,1,2,1,12.96858,9.39054,2.10587,6.36351,9.87005,12.18206,6.27299,14.46774,13.20437,13.17429,7,4,1,3,5,6,2,10,9,8,Midwest,Male,White,4-year college/bachelor's degree,Married,Within the last week,Rural,6,Indiana
342,416,1,1,17,2,2,3,3,5,2,4,3,3,3,3,3,4,2,3,4,4,3,3,62,2,4,11,1,5,2,2.11452,18.87421,3.4881,7.47951,25.77349,1.69302,9.60992,21.63991,2.22084,7.10647,2,8,4,6,10,1,7,9,3,5,Midwest,Female,White,"Some college, no degree",Married,2 days ago,Suburban,6,Kansas
419,981,1,2,23,2,2,3,1,5,3,3,3,2,2,2,3,#NULL!,4,2,2,3,2,3,62,2,4,3,1,2,2,9.46152,15.63145,1.93013,16.76283,13.61198,0.99008,1.60892,18.70562,7.62076,13.67672,5,8,3,9,6,1,2,10,4,7,Midwest,Female,White,"Some college, no degree",Married,Within the last week,Suburban,6,Michigan
437,83,1,2,26,2,6,3,3,4,4,4,2,3,3,3,3,4,3,3,#NULL!,3,2,2,62,3,4,13,1,9,2,7.50578,7.4123,0.34084,7.8723,16.53241,3.33618,7.59522,21.24358,5.12754,23.03385,5,4,1,7,8,2,6,9,3,10,Midwest,Female,White,"Some college, no degree",Divorced,More than a month ago,Suburban,6,Missouri
439,113,1,2,26,2,2,2,1,4,3,5,1,1,2,2,3,4,3,4,5,4,4,3,62,2,4,3,1,3,1,11.21727,17.78275,2.50305,19.72777,9.66566,4.00527,2.6558,6.27297,18.60031,7.56914,7,8,1,10,6,3,2,4,9,5,Midwest,Male,White,"Some college, no degree",Married,Within the last week,Urban,6,Missouri
588,509,1,2,36,2,1,2,2,3,2,6,1,3,3,1,2,4,4,5,5,4,4,4,62,3,5,2,5,1,2,10.59742,7.95708,1.35924,7.0427,7.87303,2.17639,6.42975,13.55153,23.17551,19.83735,7,6,1,4,5,2,3,8,10,9,Midwest,Female,Other,Vocational training/2 year college,Divorced,Today,Urban,6,Ohio
620,148,1,1,38,3,3,3,#NULL!,4,3,1,2,1,#NULL!,1,#NULL!,1,5,5,5,5,5,5,62,1,4,1,1,1,1,10.50863,7.89371,2.62743,3.79338,14.67303,15.96441,8.50406,22.7922,5.24668,7.99647,7,4,1,2,8,9,6,10,3,5,West,Male,White,"Some college, no degree",Single,Never,Suburban,2,Oregon
680,455,1,1,43,4,3,3,1,5,1,4,5,3,3,3,1,5,1,1,3,1,3,3,62,3,7,2,1,1,1,6.95458,13.73587,1.61849,9.96819,14.79223,1.14652,2.24226,22.20665,16.0269,11.30832,4,7,2,5,8,1,3,10,9,6,South,Male,White,"Some postgraduate work, no degree",Divorced,Within the last week,Urban,8,Tennessee
759,464,1,2,47,4,3,3,3,4,3,2,2,3,3,3,3,3,3,1,3,4,3,3,62,2,8,3,1,6,1,18.87521,9.29012,15.70151,11.3709,8.65126,1.93058,3.43598,10.40529,11.08267,9.25647,10,5,9,8,3,1,2,6,7,4,South,Male,White,2 or 3 years postgraduate work/master's degree,Married,Within the last month,Rural,5,Virginia
770,135,1,2,48,3,4,4,1,4,1,3,2,3,3,2,1,4,3,1,4,4,3,3,62,2,9,13,1,4,1,8.0428,7.24174,0.49852,9.11545,4.13904,7.1809,5.67759,20.03859,11.1209,26.94446,6,5,1,7,2,4,3,9,8,10,West,Male,White,Doctoral/law degree,Married,2 days ago,Suburban,2,Washington
59,134,1,2,5,3,2,2,2,5,2,4,1,1,1,1,2,4,4,3,4,4,3,2,61,6,4,11,1,5,1,9.55687,2.86739,1.07877,5.46999,11.05612,1.92978,19.54173,26.43759,8.65448,13.40729,6,3,1,4,7,2,9,10,5,8,West,Male,White,"Some college, no degree",Other,Within the last week,Suburban,3,California
60,137,1,2,5,3,1,1,2,5,5,4,1,1,1,1,2,4,4,#NULL!,4,4,4,4,61,2,8,12,1,5,1,7.68633,3.15052,1.98852,5.33081,7.68864,3.06224,8.02103,16.55107,21.5901,24.93074,5,3,1,4,6,2,7,8,9,10,West,Male,White,2 or 3 years postgraduate work/master's degree,Married,2 days ago,Suburban,3,California
201,608,1,2,10,4,3,3,1,4,1,3,2,2,3,3,3,4,4,3,3,1,3,1,61,2,5,13,1,3,1,10.89452,8.27648,1.74916,6.37627,13.62832,0.94252,11.86222,20.99353,6.56272,18.71425,6,5,2,3,8,1,7,10,4,9,South,Male,White,Vocational training/2 year college,Married,Yesterday,Rural,8,Florida
202,609,1,1,10,4,2,2,3,5,2,6,1,2,2,2,2,4,3,4,3,3,4,2,61,2,6,5,1,5,1,9.85313,14.23668,2.10927,13.5704,23.952,0.53289,14.79909,12.53419,2.22363,6.18873,5,8,2,7,10,1,9,6,3,4,South,Male,White,4-year college/bachelor's degree,Married,Within the last month,Suburban,8,Florida
313,174,1,2,15,2,3,3,3,3,4,2,3,3,3,3,3,4,3,3,4,4,3,2,61,2,8,2,1,5,1,13.36446,6.89848,0.71785,7.2767,10.49059,1.06455,9.81104,20.81789,6.4395,23.11894,8,4,1,5,7,2,6,9,3,10,Midwest,Male,White,2 or 3 years postgraduate work/master's degree,Married,More than a month ago,Suburban,6,Indiana
325,637,1,1,15,2,2,2,1,5,1,4,1,1,1,1,2,6,2,4,4,4,3,3,61,1,4,2,1,1,1,13.26454,12.78909,1.73215,10.31965,11.4,0.86843,7.20829,13.39682,21.4566,7.56444,8,7,2,5,6,1,3,9,10,4,Midwest,Male,White,"Some college, no degree",Single,Within the last month,Rural,6,Indiana
351,632,1,1,18,4,3,2,3,4,1,2,3,3,3,2,3,4,4,6,3,3,3,3,61,2,6,12,1,4,1,4.52554,17.64278,2.46101,20.24683,8.18933,0.59547,7.57394,22.07339,6.99552,9.69619,3,8,2,9,6,1,5,10,4,7,South,Male,White,4-year college/bachelor's degree,Married,2 days ago,Urban,8,Kentucky
359,549,1,2,19,4,1,1,2,5,5,1,1,1,1,1,2,4,4,4,4,4,4,4,61,3,5,2,2,1,1,3.10083,13.08616,3.69079,12.25116,10.35705,2.56942,16.61523,18.68307,15.38924,4.25705,2,7,3,6,5,1,9,10,8,4,South,Male,African American,Vocational training/2 year college,Divorced,2 days ago,Urban,8,Louisiana
405,173,1,2,23,2,3,2,3,5,3,4,1,1,2,2,3,4,4,4,4,4,4,3,61,1,6,2,2,1,1,6.67968,7.65883,1.23831,10.13432,8.42347,1.22159,3.69945,14.88146,22.46575,23.59715,4,5,2,7,6,1,3,8,9,10,Midwest,Male,African American,4-year college/bachelor's degree,Single,More than a month ago,Urban,6,Michigan
408,415,1,1,23,2,3,2,1,5,3,2,2,2,3,2,1,3,3,1,3,4,3,1,61,2,5,12,1,1,2,9.71521,22.08104,5.83776,5.4215,14.22365,2.60955,4.04747,15.12751,17.38075,3.55557,6,10,5,4,7,1,3,8,9,2,Midwest,Female,White,Vocational training/2 year college,Married,More than a month ago,Rural,6,Michigan
471,957,1,2,29,3,2,1,2,5,3,6,3,3,1,1,2,5,3,4,5,4,4,4,61,2,6,9,1,5,1,12.70309,12.27728,1.08254,16.0803,11.53174,0.75564,2.12817,11.30756,8.92979,23.20388,8,7,2,9,6,1,3,5,4,10,West,Male,White,4-year college/bachelor's degree,Married,Within the last month,Suburban,7,Nevada
619,145,1,2,38,3,3,2,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,61,1,8,13,1,1,1,13.34056,17.42829,3.26393,14.45107,4.01994,9.63043,6.90415,4.96985,10.60168,15.39008,7,10,1,8,2,5,4,3,6,9,West,Male,White,2 or 3 years postgraduate work/master's degree,Single,Can't remember,Suburban,2,Oregon
43,421,1,1,4,4,3,4,3,5,3,2,2,1,2,2,3,2,3,2,4,4,3,3,60,2,6,2,1,9,2,16.52463,8.95315,1.26081,13.56081,9.77771,0.52779,7.26982,19.98288,7.23553,14.90686,9,5,2,7,6,1,4,10,3,8,South,Female,White,4-year college/bachelor's degree,Married,Within the last week,Suburban,8,Arkansas
158,947,1,1,7,1,3,3,1,5,4,2,4,2,2,2,2,5,4,4,3,4,3,3,60,2,9,12,1,5,2,5.19948,10.16251,2.0912,3.89872,16.25795,17.47362,13.44958,15.95861,5.78081,9.72752,3,6,1,2,9,10,7,8,4,5,Northeast,Female,White,Doctoral/law degree,Married,Within the last week,Suburban,4,Connecticut
331,991,1,1,15,2,2,1,1,5,1,5,2,2,2,2,1,2,1,1,1,2,2,1,60,3,3,2,1,2,1,9.41366,19.13787,4.58823,15.52213,4.74759,0.67955,7.28163,19.56009,2.89876,16.1705,6,9,3,7,4,1,5,10,2,8,Midwest,Male,White,High school graduate,Divorced,2 days ago,Rural,6,Indiana
389,507,1,1,22,1,2,1,2,4,4,1,1,2,1,2,1,3,4,5,3,5,5,4,60,2,6,5,1,4,1,9.78035,23.33175,5.12902,11.94946,17.35686,4.08819,7.88553,8.27171,6.28562,5.92152,7,10,2,8,9,1,5,6,4,3,Northeast,Male,White,4-year college/bachelor's degree,Married,Today,Suburban,4,Massachusetts
450,984,1,2,26,2,2,3,3,4,3,1,2,2,2,2,2,2,1,1,3,4,6,2,60,3,3,12,1,1,2,19.00709,7.76832,0.86047,9.81352,16.21192,2.82678,3.98453,18.50117,9.78664,11.23957,10,4,1,6,8,2,3,9,5,7,Midwest,Female,White,High school graduate,Divorced,Yesterday,Rural,6,Missouri
552,18,1,1,34,4,3,2,1,5,3,1,1,1,1,1,2,5,4,3,4,5,3,4,60,3,4,11,1,1,2,13.08124,4.6695,0.87894,11.5299,13.81653,6.7453,6.6711,19.50575,6.64949,16.45224,7,2,1,6,8,5,4,10,3,9,South,Female,White,"Some college, no degree",Divorced,Can't remember,Suburban,8,North Carolina
631,87,1,2,39,1,3,3,1,5,1,4,3,3,3,3,1,3,3,3,3,3,3,3,60,4,6,13,1,9,2,6.57272,17.68636,0.56545,7.1449,21.85582,4.83448,5.69238,19.56702,3.56487,12.51601,5,8,1,6,10,3,4,9,2,7,Northeast,Female,White,4-year college/bachelor's degree,Separated,More than a month ago,Rural,5,Pennsylvania
783,381,1,1,49,4,2,2,1,5,4,1,1,1,1,1,3,4,3,6,4,4,3,2,60,5,4,11,1,2,2,9.21675,13.97536,4.28144,9.09531,19.64056,0.70101,11.56523,20.68177,6.78275,4.05982,6,8,3,5,9,1,7,10,4,2,South,Female,White,"Some college, no degree",Widowed,Yesterday,Suburban,5,West Virginia
10,408,1,2,1,4,1,1,2,5,4,2,2,1,1,1,2,4,4,4,5,5,4,4,59,3,2,1,1,1,2,6.65325,6.42672,3.75069,7.82685,12.25952,8.69444,14.68687,19.72638,9.3493,10.62598,3,2,1,4,8,5,9,10,6,7,South,Female,White,Some high school,Divorced,Within the last month,Rural,8,Alabama
42,378,1,1,4,4,2,3,1,5,5,3,1,2,2,2,1,4,4,4,4,4,4,4,59,3,4,1,1,9,1,10.61612,10.16054,7.72347,13.9965,10.11638,9.05027,8.84692,7.41472,7.06335,15.01173,8,7,3,9,6,5,4,2,1,10,South,Male,White,"Some college, no degree",Divorced,Within the last month,Urban,8,Arkansas
49,25,1,1,5,3,3,3,1,4,3,1,2,2,2,2,1,3,3,3,3,3,3,3,59,3,6,2,2,6,1,21.97355,14.86006,3.77047,22.95942,11.99501,2.70541,8.02288,6.81639,3.78972,3.10709,9,8,3,10,7,1,6,5,4,2,West,Male,African American,4-year college/bachelor's degree,Divorced,2 days ago,Suburban,3,California
161,557,1,1,8,1,3,4,1,1,1,4,2,3,4,4,1,1,3,1,2,2,3,1,59,1,4,12,2,1,1,12.46947,10.55653,3.39016,9.82029,22.03963,1.99113,19.40307,9.60317,4.70749,6.01906,8,7,2,6,10,1,9,5,3,4,Northeast,Male,African American,"Some college, no degree",Single,Within the last month,Urban,5,Deleware
200,602,1,1,10,4,2,2,2,5,2,3,1,1,1,2,2,3,4,3,3,3,3,2,59,2,6,1,1,2,1,11.5099,17.93978,3.08627,15.88718,4.59466,0.589,1.81392,13.23803,8.86159,22.47967,6,9,3,8,4,1,2,7,5,10,South,Male,White,4-year college/bachelor's degree,Married,More than a month ago,Suburban,8,Florida
289,583,1,1,14,2,2,2,#NULL!,5,3,1,2,2,#NULL!,2,#NULL!,4,4,2,3,4,5,5,59,2,5,3,1,4,1,11.36967,2.87395,1.35087,5.23086,13.13683,3.52095,14.6118,18.8433,14.13018,14.93159,5,2,1,4,6,3,8,10,7,9,Midwest,Male,White,Vocational training/2 year college,Married,More than a month ago,Suburban,6,Illinois
333,997,1,1,15,2,3,3,1,5,3,3,2,2,2,2,1,3,3,2,3,3,3,3,59,2,4,1,1,2,2,10.05872,17.33389,3.99117,13.90629,19.14132,0.85744,7.71266,10.94264,12.1504,3.90547,5,9,3,8,10,1,4,6,7,2,Midwest,Female,White,"Some college, no degree",Married,Within the last week,Suburban,6,Indiana
337,184,1,2,16,2,2,2,#NULL!,4,4,2,3,3,#NULL!,2,#NULL!,4,3,4,4,4,3,3,59,2,9,2,1,6,1,16.9184,17.01407,4.28672,20.28888,10.87757,2.32928,3.10861,9.45152,3.60865,12.1163,8,9,4,10,6,1,2,5,3,7,Midwest,Male,White,Doctoral/law degree,Married,Never,Rural,6,Iowa
385,162,1,1,22,1,6,5,3,3,3,2,3,3,3,3,3,3,3,3,#NULL!,3,3,3,59,2,6,2,1,6,1,18.27129,4.78124,5.67506,9.89615,17.14462,3.68541,4.31275,9.79396,11.20832,15.2312,10,3,4,6,9,1,2,5,7,8,Northeast,Male,White,4-year college/bachelor's degree,Married,More than a month ago,Suburban,4,Massachusetts
426,547,1,1,24,2,2,3,1,1,4,4,1,2,2,2,1,4,2,2,4,4,4,5,59,3,4,1,2,2,4,11.4016,11.23806,16.48481,23.81547,5.65355,9.19913,8.43638,8.19511,2.44223,3.13367,8,7,9,10,3,6,5,4,1,2,Midwest,Trans,African American,"Some college, no degree",Divorced,Yesterday,Suburban,6,Minnesota
626,633,1,2,38,3,6,2,2,5,3,3,1,2,2,2,2,4,4,3,1,2,1,1,59,1,8,8,1,1,1,3.57603,6.15628,1.00987,3.03843,10.50697,21.74319,10.25361,19.22078,2.14999,22.34485,4,5,1,3,7,9,6,8,2,10,West,Male,White,2 or 3 years postgraduate work/master's degree,Single,Within the last month,Urban,2,Oregon
633,132,1,2,39,1,6,2,3,3,3,5,1,3,3,4,3,6,6,6,6,6,6,6,59,3,3,2,1,1,1,9.14562,2.47532,1.61719,7.00675,3.80402,5.11321,11.4809,13.88672,19.89112,25.57916,6,2,1,5,3,4,7,8,9,10,Northeast,Male,White,High school graduate,Divorced,Within the last month,Urban,5,Pennsylvania
674,986,1,2,42,2,3,3,3,3,3,3,3,3,3,2,3,3,6,2,3,4,3,3,59,1,3,11,1,2,1,20.35089,6.56431,7.26606,11.98521,12.67261,2.91982,4.81972,5.88957,17.20102,10.33079,10,4,5,7,8,1,2,3,9,6,Midwest,Male,White,High school graduate,Single,More than a month ago,Suburban,6,South Dakota
25,115,1,1,3,3,2,2,2,4,3,5,2,2,2,2,2,4,3,3,3,3,3,4,58,5,4,2,1,1,1,9.53492,6.08371,5.00095,9.09421,7.62133,26.52083,3.98377,10.00481,10.42645,11.72903,6,3,2,5,4,10,1,7,8,9,West,Male,White,"Some college, no degree",Widowed,More than a month ago,Urban,7,Arizona
57,121,1,1,5,3,1,1,1,5,3,2,2,1,1,1,2,3,3,3,3,3,4,3,58,2,6,1,1,3,1,5.03617,5.99498,0.42953,9.21002,24.42847,2.02988,12.97972,19.35283,4.11563,16.42279,4,5,1,6,10,2,7,9,3,8,West,Male,White,4-year college/bachelor's degree,Married,Within the last week,Urban,3,California
273,186,1,1,14,2,1,2,3,5,3,4,1,1,1,1,2,4,3,4,5,4,4,4,58,2,9,3,1,7,2,22.63293,2.81746,3.25626,16.67441,12.33064,0.99335,7.30504,6.66481,9.4997,17.82542,10,2,3,8,7,1,5,4,6,9,Midwest,Female,White,Doctoral/law degree,Married,Within the last week,Suburban,6,Illinois
365,129,1,2,20,1,2,2,2,5,2,6,1,1,2,1,2,4,2,3,4,3,3,2,58,2,6,12,1,4,1,4.73677,8.44957,0.52472,14.61267,13.65683,9.35363,5.2197,11.92332,6.45887,25.06391,2,5,1,9,8,6,3,7,4,10,Northeast,Male,White,4-year college/bachelor's degree,Married,Within the last week,Urban,4,Maine
515,175,1,1,33,1,6,5,3,3,3,3,1,3,3,3,3,1,1,1,1,5,1,1,58,1,9,13,1,1,1,10.55195,4.0068,2.57874,14.56513,10.56009,2.32509,17.86571,7.75557,15.2967,14.49422,5,3,2,8,6,1,10,4,9,7,Northeast,Male,White,Doctoral/law degree,Single,Can't remember,Rural,5,New York
528,514,1,1,33,1,1,1,3,2,3,3,1,2,4,2,2,4,2,#NULL!,2,3,3,3,58,2,6,8,3,5,1,9.20216,9.78472,1.8501,13.71199,19.67061,1.4443,6.30285,19.64126,1.27483,17.11718,5,6,3,7,10,2,4,9,1,8,Northeast,Male,Asian,4-year college/bachelor's degree,Married,Within the last week,Urban,5,New York
559,383,1,1,34,4,3,3,1,5,2,1,2,2,2,3,3,3,3,2,2,3,3,2,58,3,3,12,1,1,2,9.01629,5.69253,2.10165,8.94873,22.83699,4.06134,4.79243,8.00601,15.18793,19.35609,7,4,1,6,10,2,3,5,8,9,South,Female,White,High school graduate,Divorced,More than a month ago,Rural,8,North Carolina
598,987,1,1,36,2,3,3,2,3,3,5,3,3,3,3,2,3,2,2,3,2,2,3,58,2,8,3,1,5,2,12.85582,10.22698,4.20786,17.97546,11.94032,10.1228,3.51411,2.72622,11.47989,14.95053,8,5,3,10,7,4,2,1,6,9,Midwest,Female,White,2 or 3 years postgraduate work/master's degree,Married,Within the last month,Suburban,6,Ohio
621,152,1,2,38,3,2,3,3,4,4,1,2,2,2,2,2,4,4,3,3,3,3,2,58,1,5,11,1,2,1,6.12354,7.1511,0.4908,4.33645,23.66455,4.07046,10.22568,24.36808,8.65805,10.91129,4,5,1,3,9,2,7,10,6,8,West,Male,White,Vocational training/2 year college,Single,Within the last week,Suburban,2,Oregon
647,620,1,1,39,1,3,4,2,4,2,6,1,1,1,1,2,5,5,3,5,4,5,4,58,1,6,2,1,2,1,10.89837,14.79964,1.17161,16.92749,17.63765,2.45724,10.13581,7.17021,12.76724,6.03474,6,8,1,9,10,2,5,4,7,3,Northeast,Male,White,4-year college/bachelor's degree,Single,More than a month ago,Suburban,5,Pennsylvania
661,946,1,1,39,1,2,1,3,5,3,6,1,1,1,1,2,6,6,6,3,6,6,6,58,2,3,1,5,2,2,19.39567,2.10308,6.80891,10.60808,5.06143,13.18051,8.40172,5.53976,20.57661,8.32424,9,1,4,7,2,8,6,3,10,5,Northeast,Female,Other,High school graduate,Married,Within the last week,Urban,5,Pennsylvania
774,613,1,1,48,3,3,5,#NULL!,4,3,5,1,1,#NULL!,1,#NULL!,5,4,1,5,4,3,4,58,1,5,13,1,1,2,21.47052,9.47026,13.21355,7.13871,13.82014,6.29116,17.03431,4.01835,4.61314,2.92986,10,6,7,5,8,4,9,2,3,1,West,Female,White,Vocational training/2 year college,Single,Can't remember,Suburban,2,Washington
199,574,1,2,10,4,4,4,2,5,4,6,2,3,4,6,2,4,6,3,4,4,2,4,57,1,3,3,1,1,1,13.01675,9.03934,5.60024,6.92009,14.0096,13.09094,10.01106,10.16237,10.76505,7.38456,8,4,1,2,10,9,5,6,7,3,South,Male,White,High school graduate,Single,Within the last month,Suburban,8,Florida
304,994,1,2,14,2,4,3,1,4,3,5,1,2,2,2,1,3,3,2,4,4,4,3,57,3,7,11,1,5,1,10.05432,20.52673,0.97606,13.14989,7.72101,1.25182,16.08935,13.66861,6.96625,9.59596,6,10,1,7,4,2,9,8,3,5,Midwest,Male,White,"Some postgraduate work, no degree",Divorced,Today,Suburban,6,Illinois
368,584,1,2,20,1,2,3,1,3,1,2,2,2,2,3,1,5,1,1,5,6,6,6,57,3,6,3,1,3,1,16.09882,4.61458,8.30175,17.21808,12.00919,7.98643,9.4781,3.93986,10.22047,10.13272,9,2,4,10,8,3,5,1,7,6,Northeast,Male,White,4-year college/bachelor's degree,Divorced,Within the last month,Urban,4,Maine
470,903,1,1,29,3,2,3,1,5,2,1,2,3,3,3,1,3,2,2,1,3,1,1,57,1,9,11,5,3,1,2.14872,5.87229,0.3357,5.96182,22.59741,6.91117,11.76599,22.95967,2.26828,19.17895,2,4,1,5,9,6,7,10,3,8,West,Male,Other,Doctoral/law degree,Single,Yesterday,Urban,7,Nevada
573,933,1,2,34,4,3,3,3,1,5,5,3,3,3,3,3,6,6,3,3,6,3,4,57,1,4,2,1,2,1,19.2099,17.95489,9.55494,10.90374,3.02149,4.35513,9.59971,5.94659,13.83433,5.61928,10,9,5,7,1,2,6,4,8,3,South,Male,White,"Some college, no degree",Single,More than a month ago,Urban,8,North Carolina
645,563,1,2,39,1,3,2,#NULL!,3,2,3,1,1,#NULL!,1,#NULL!,4,4,3,3,3,3,3,57,2,5,3,2,3,2,14.11903,14.60569,2.3625,14.79947,13.97783,0.61192,4.73612,9.22307,16.33665,9.22773,7,8,2,9,6,1,3,4,10,5,Northeast,Female,African American,Vocational training/2 year college,Married,Within the last month,Suburban,5,Pennsylvania
669,457,1,2,41,4,4,3,3,5,2,1,2,2,2,2,2,4,3,1,3,2,3,1,57,2,6,8,1,7,1,13.47852,10.95571,4.68329,13.90606,7.02219,7.64451,9.05801,14.04627,7.49509,11.71035,8,6,1,9,2,4,5,10,3,7,South,Male,White,4-year college/bachelor's degree,Married,Today,Suburban,8,South Carolina
721,605,1,2,44,4,3,3,3,5,2,3,1,1,1,1,2,5,4,4,4,3,3,2,57,1,8,11,1,3,1,6.05177,5.98472,0.30755,5.3566,23.87988,1.51572,12.22499,20.48342,4.91647,19.27889,6,5,1,4,10,2,7,9,3,8,South,Male,White,2 or 3 years postgraduate work/master's degree,Single,More than a month ago,Urban,8,Texas
8,241,1,2,1,4,3,3,1,5,3,6,2,2,3,3,2,5,1,5,5,5,3,1,56,3,6,3,1,3,2,5.54555,2.68067,0.38533,2.93776,14.03508,6.35293,22.08999,24.76524,5.21665,15.9908,5,2,1,3,7,6,9,10,4,8,South,Female,White,4-year college/bachelor's degree,Divorced,2 days ago,Rural,8,Alabama
123,940,1,2,5,3,2,2,3,4,3,5,1,2,2,2,3,3,2,1,4,4,3,2,56,2,4,3,5,1,1,11.85492,10.6341,1.42117,19.97276,2.18312,3.32533,4.13757,11.21456,23.36614,11.89033,7,5,1,9,2,3,4,6,10,8,West,Male,Other,"Some college, no degree",Married,Within the last week,Urban,3,California
192,424,1,1,10,4,3,2,1,5,3,1,1,1,1,1,2,4,3,3,3,5,4,5,56,2,3,1,1,2,2,19.00616,14.16954,0.84459,12.20542,13.73045,1.01014,4.78205,20.01347,8.96347,5.27471,9,8,1,6,7,2,3,10,5,4,South,Female,White,High school graduate,Married,Within the last month,Rural,8,Florida
271,159,1,2,14,2,3,3,#NULL!,5,2,3,1,1,#NULL!,1,#NULL!,3,1,1,3,5,3,1,56,4,3,11,1,1,1,6.32692,6.36071,1.34242,16.4303,8.98876,3.88537,8.08616,19.64907,4.3363,24.594,4,5,1,8,7,2,6,9,3,10,Midwest,Male,White,High school graduate,Separated,Never,Urban,6,Illinois
306,1008,1,2,14,2,3,3,1,5,1,3,1,1,1,1,3,4,3,3,4,4,4,3,56,2,6,1,1,4,2,8.27741,12.85056,1.19644,6.78018,19.932,0.58417,8.43429,15.22662,5.2786,21.43973,5,7,2,4,9,1,6,8,3,10,Midwest,Female,White,4-year college/bachelor's degree,Married,Within the last week,Rural,6,Illinois
324,601,1,1,15,2,1,1,2,5,5,6,1,1,1,1,2,5,3,5,5,5,3,5,56,4,3,12,1,3,1,9.71182,8.67396,3.25603,8.69635,19.34456,11.86894,6.12032,7.54993,10.58148,14.19661,6,4,1,5,10,8,2,3,7,9,Midwest,Male,White,High school graduate,Separated,Within the last week,Urban,6,Indiana
327,644,1,1,15,2,3,3,1,4,2,6,3,2,2,2,1,3,4,4,4,4,3,4,56,2,6,1,1,8,1,17.80666,19.67949,1.95405,18.74019,17.28368,0.52263,6.35545,5.78228,6.10747,5.76809,8,10,2,9,7,1,6,4,5,3,Midwest,Male,White,4-year college/bachelor's degree,Married,Within the last month,Suburban,6,Indiana
424,146,1,1,24,2,6,2,3,4,2,6,2,3,2,2,2,4,3,3,4,3,2,2,56,1,6,2,1,4,1,8.46069,16.92454,0.83069,16.81171,5.07476,3.06413,3.76793,18.45107,13.47441,13.14006,5,9,1,8,4,2,3,10,7,6,Midwest,Male,White,4-year college/bachelor's degree,Single,2 days ago,Urban,6,Minnesota
488,423,1,2,31,1,1,2,2,4,4,4,1,1,1,1,2,5,3,5,4,5,4,4,56,3,6,1,1,3,2,9.34446,16.57345,0.90101,19.97909,18.19137,0.55033,5.00576,11.91857,9.16279,8.37316,6,8,2,10,9,1,3,7,5,4,Northeast,Female,White,4-year college/bachelor's degree,Divorced,Within the last week,Suburban,5,New Jersey
561,564,1,2,34,4,4,2,1,5,3,1,1,1,1,1,1,4,4,3,3,4,4,3,56,2,4,1,2,4,1,6.78414,5.54656,0.71868,5.58016,11.26153,3.98905,20.9501,24.54169,13.37427,7.25382,5,3,1,4,7,2,9,10,8,6,South,Male,African American,"Some college, no degree",Married,Within the last month,Suburban,8,North Carolina
574,966,1,2,34,4,3,3,1,4,3,2,3,3,3,3,2,3,3,3,3,3,3,3,56,2,8,6,1,3,2,11.99054,18.05181,4.81501,7.81071,7.54397,3.57566,11.91951,17.92524,13.02753,3.34004,7,10,3,5,4,2,6,9,8,1,South,Female,White,2 or 3 years postgraduate work/master's degree,Married,Within the last month,Suburban,8,North Carolina
